   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, heapSort_cmp, heapSort_swaps, heapSort_time, quick_cmp, quick_swaps, quick_time
 251,           990,             120,              6,         63504,              72,             61,         9878,           4383,            21,     24148,         438,         19
 252,           993,             120,              6,         64009,              72,             61,         9913,           4388,            21,     24670,         442,         18
 253,           996,             120,             11,         64516,              72,             66,         9946,           4404,            32,     25014,         445,         30
 254,          1001,             121,              9,         65025,              73,             67,         9997,           4426,            31,     24740,         442,         31
 255,          1006,             122,             10,         65536,              74,             68,        10046,           4457,            34,     24974,         447,         37
 256,          1009,             122,             10,         66049,              74,             69,        10113,           4494,            34,     25498,         448,         34
 257,          1012,             122,             11,         66564,              74,             70,        10157,           4513,            30,     25760,         452,         32
 258,          1017,             123,             11,         67081,              75,             69,        10208,           4525,            29,     25230,         449,         27
 259,          1020,             123,             10,         67600,              75,             69,        10234,           4534,            36,     25549,         452,         30
 260,          1023,             123,             10,         68121,              75,             66,        10295,           4554,            22,     25761,         453,         19
 261,          1026,             123,              6,         68644,              75,             66,        10344,           4578,            22,     26001,         457,         18
 262,          1029,             123,              6,         69169,              75,             66,        10388,           4592,            21,     26458,         460,         19
 263,          1032,             123,              6,         69696,              75,             67,        10444,           4623,            22,     26648,         462,         19
 264,          1035,             123,              6,         70225,              75,             67,        10494,           4647,            22,     26912,         463,         18
 265,          1038,             123,              6,         70756,              75,             68,        10552,           4672,            21,     27108,         465,         18
 266,          1041,             123,              7,         71289,              75,             68,        10584,           4679,            21,     26955,         465,         19
 267,          1044,             123,              6,         71824,              75,             69,        10643,           4705,            21,     27151,         467,         18
 268,          1047,             123,              6,         72361,              75,             69,        10697,           4730,            21,     27347,         469,         19
 269,          1050,             123,              6,         72900,              75,             70,        10737,           4745,            22,     27546,         471,         19
 270,          1053,             123,              6,         73441,              75,             70,        10798,           4772,            22,     27744,         473,         20
 271,          1058,             124,              6,         73984,              76,             70,        10842,           4789,            22,     27759,         473,         19
 272,          1065,             126,              6,         74529,              76,             71,        10889,           4812,            22,     27782,         475,         19
 273,          1070,             127,              6,         75076,              77,             72,        10937,           4828,            22,     28165,         478,         19
 274,          1073,             127,             23,         75625,              77,             72,        10992,           4860,            22,     28454,         480,         20
 275,          1076,             127,              6,         76176,              77,             72,        11023,           4865,            24,     28682,         482,         20
 276,          1081,             128,              6,         76729,              78,             74,        11092,           4897,            23,     28692,         482,         20
 277,          1088,             130,              6,         77284,              78,             74,        11133,           4913,            22,     28710,         484,         19
 278,          1091,             130,              6,         77841,              78,             74,        11184,           4935,            22,     29160,         487,         19
 279,          1094,             130,              6,         78400,              78,             75,        11225,           4951,            22,     29409,         488,         19
 280,          1097,             130,              6,         78961,              78,             76,        11284,           4985,            22,     30049,         494,         20
 281,          1102,             131,              6,         79524,              79,             76,        11338,           5012,            23,     30054,         494,         20
 282,          1105,             131,              6,         80089,              79,             76,        11378,           5017,            23,     29997,         493,         19
 283,          1110,             132,              6,         80656,              80,             77,        11447,           5055,            22,     30086,         493,         19
 284,          1113,             132,              6,         81225,              80,             78,        11482,           5062,            22,     30636,         496,         20
 285,          1116,             132,              6,         81796,              80,             78,        11535,           5090,            22,     30956,         498,         38
 286,          1121,             133,              8,         82369,              81,             79,        11574,           5101,            33,     30490,         499,         33
 287,          1126,             134,             11,         82944,              82,             88,        11621,           5131,            32,     30697,         501,         22
 288,          1133,             136,              7,         83521,              82,             80,        11690,           5157,            25,     31087,         505,         22
 289,          1142,             139,              6,         84100,              83,             81,        11731,           5178,            24,     31179,         506,         21
 290,          1145,             139,              6,         84681,              83,             81,        11788,           5203,            24,     31469,         507,         21
 291,          1148,             139,              6,         85264,              83,             82,        11848,           5232,            24,     31753,         509,         21
 292,          1151,             139,              6,         85849,              83,             82,        11902,           5254,            24,     31826,         509,         21
 293,          1154,             139,              6,         86436,              83,             83,        11937,           5270,            25,     32030,         511,         21
 294,          1157,             139,              7,         87025,              83,             84,        11973,           5276,            24,     32235,         513,         21
 295,          1160,             139,              7,         87616,              83,             84,        12024,           5300,            24,     32441,         515,         26
 296,          1167,             141,              7,         88209,              85,            204,        12076,           5323,            62,     33003,         517,         62
 297,          1170,             141,              9,         88804,              85,             90,        12151,           5363,            34,     33259,         519,         23
 298,          1173,             141,              7,         89401,              85,             86,        12185,           5374,            25,     33258,         519,         22
 299,          1176,             141,              7,         90000,              85,             86,        12235,           5397,            25,     33658,         521,         22
 300,          1179,             141,              7,         90601,              85,             87,        12286,           5415,            24,     34176,         526,         23
 301,          1182,             141,              7,         91204,              85,             87,        12326,           5433,            25,     34392,         528,         22
 302,          1185,             141,              7,         91809,              85,             88,        12374,           5452,            24,     34207,         528,         22
 303,          1190,             142,              7,         92416,              86,             88,        12420,           5480,            24,     34284,         528,         22
 304,          1197,             144,             10,         93025,              86,             94,        12483,           5505,            26,     34369,         530,         23
 305,          1206,             147,              7,         93636,              87,             90,        12525,           5526,            26,     34451,         531,         23
 306,          1209,             147,              7,         94249,              87,             91,        12592,           5559,            25,     34742,         533,         23
 307,          1212,             147,              7,         94864,              87,             91,        12617,           5572,            25,     35250,         535,         23
 308,          1217,             148,              7,         95481,              88,             91,        12653,           5574,            25,     35322,         535,         23
 309,          1220,             148,              7,         96100,              88,             92,        12731,           5618,            25,     35613,         540,         23
 310,          1223,             148,              7,         96721,              88,             93,        12785,           5642,            25,     35925,         541,         23
 311,          1226,             148,              7,         97344,              88,             94,        12850,           5681,            25,     36165,         545,         23
 312,          1229,             148,              7,         97969,              88,             94,        12885,           5694,            26,     36381,         546,         23
 313,          1234,             149,              7,         98596,              89,             94,        12932,           5711,            26,     36448,         546,         23
 314,          1239,             150,              7,         99225,              90,             95,        12989,           5735,            25,     36992,         551,         24
 315,          1242,             150,              7,         99856,              90,             96,        13026,           5755,            26,     37236,         553,         24
 316,          1245,             150,              7,        100489,              90,             96,        13088,           5785,            25,     37552,         554,         24
 317,          1248,             150,              7,        101124,              90,             97,        13145,           5816,            25,     37874,         556,         24
 318,          1253,             151,              7,        101761,              91,             98,        13184,           5831,            26,     37541,         555,         24
 319,          1260,             153,              7,        102400,              91,             98,        13222,           5849,            26,     37613,         557,         24
 320,          1269,             156,              7,        103041,              92,             99,        13276,           5870,            27,     38009,         560,         24
 321,          1272,             156,              7,        103684,              92,             99,        13312,           5882,            27,     38304,         561,         24
 322,          1275,             156,              9,        104329,              92,            100,        13367,           5905,            26,     38626,         562,         24
 323,          1278,             156,              7,        104976,              92,            101,        13425,           5930,            26,     39144,         564,         24
 324,          1281,             156,              7,        105625,              92,            101,        13495,           5965,            26,     39035,         566,         25
 325,          1286,             157,              7,        106276,              93,            102,        13533,           5981,            27,     39094,         566,         24
 326,          1289,             157,              7,        106929,              93,            102,        13584,           6003,            27,     39669,         568,         24
 327,          1292,             157,              7,        107584,              93,            103,        13631,           6029,            27,     39991,         570,         25
 328,          1297,             158,              7,        108241,              94,            104,        13697,           6057,            27,     40692,         571,         25
 329,          1300,             158,              7,        108900,              94,            105,        13714,           6060,            28,     40992,         575,         25
 330,          1303,             158,              7,        109561,              94,            105,        13796,           6101,            27,     41650,         578,         26
 331,          1308,             159,              7,        110224,              95,            112,        13832,           6119,            29,     41711,         578,         26
 332,          1313,             160,              8,        110889,              96,            106,        13889,           6141,            27,     41661,         578,         26
 333,          1322,             163,              7,        111556,              95,            107,        13929,           6158,            27,     41354,         580,         26
 334,          1325,             163,              8,        112225,              95,            108,        13994,           6194,            27,     41207,         580,         26
 335,          1328,             163,              7,        112896,              95,            108,        14033,           6212,            27,     41569,         584,         26
 336,          1331,             163,              7,        113569,              95,            109,        14096,           6239,            28,     41796,         587,         26
 337,          1334,             163,              8,        114244,              95,            110,        14142,           6258,            28,     42029,         588,         26
 338,          1337,             163,              8,        114921,              95,            111,        14169,           6260,            28,     42264,         590,         26
 339,          1340,             163,              9,        115600,              95,            111,        14224,           6287,            28,     42500,         592,         26
 340,          1345,             164,              8,        116281,              96,            112,        14293,           6322,            28,     42552,         592,         26
 341,          1350,             165,              8,        116964,              97,            112,        14347,           6350,            28,     42794,         595,         26
 342,          1353,             165,              8,        117649,              97,            113,        14387,           6367,            28,     43057,         597,         27
 343,          1356,             165,              8,        118336,              97,            115,        14467,           6412,            29,     43393,         599,         99
 344,          1359,             165,              8,        119025,              97,            116,        14479,           6405,            30,     43693,         602,         29
 345,          1366,             167,              8,        119716,              99,            116,        14532,           6426,            29,     43496,         601,         28
 346,          1371,             168,              8,        120409,             100,            116,        14591,           6451,            29,     44171,         605,         28
 347,          1382,             172,              8,        121104,             100,            117,        14635,           6472,            29,     43960,         606,         27
 348,          1385,             172,              8,        121801,             100,            117,        14696,           6503,            29,     44308,         607,         27
 349,          1388,             172,              8,        122500,             100,            119,        14732,           6517,            29,     44713,         610,         28
 350,          1391,             172,              8,        123201,             100,            120,        14793,           6551,            30,     45125,         611,         28
 351,          1396,             173,              8,        123904,             101,            119,        14818,           6557,            30,     45168,         611,         28
 352,          1401,             174,              8,        124609,             102,            120,        14876,           6584,            29,     45779,         617,         28
 353,          1404,             174,              8,        125316,             102,            121,        14929,           6605,            29,     46047,         619,         28
 354,          1407,             174,              8,        126025,             102,            122,        14993,           6636,            30,     46401,         620,         30
 355,          1410,             174,             10,        126736,             102,            123,        15027,           6649,            31,     46747,         622,         30
 356,          1413,             174,              8,        127449,             102,            123,        15099,           6686,            31,     46595,         623,         30
 357,          1418,             175,              8,        128164,             103,            124,        15115,           6687,            31,     46634,         623,         29
 358,          1421,             175,              8,        128881,             103,            124,        15188,           6724,            30,     46904,         624,         29
 359,          1424,             175,              8,        129600,             103,            125,        15220,           6738,            30,     47248,         626,         29
 360,          1427,             175,              8,        130321,             103,            126,        15274,           6763,            31,     47563,         628,         52
 361,          1432,             176,             15,        131044,             104,            135,        15319,           6778,            44,     47598,         628,         54
 362,          1439,             178,             14,        131769,             104,            138,        15374,           6803,            50,     47641,         630,         58
 363,          1442,             178,             16,        132496,             104,            138,        15464,           6861,            47,     47961,         634,         56
 364,          1451,             181,             15,        133225,             107,            135,        15504,           6876,            32,     49047,         637,         31
 365,          1454,             181,              8,        133956,             107,            129,        15529,           6888,            31,     49372,         639,         31
 366,          1457,             181,              8,        134689,             107,            130,        15606,           6931,            32,     49006,         640,         30
 367,          1460,             181,              9,        135424,             107,            131,        15632,           6934,            32,     49553,         642,         32
 368,          1465,             182,              8,        136161,             108,            131,        15660,           6941,            32,     50023,         641,         31
 369,          1470,             183,              8,        136900,             109,            132,        15699,           6958,            31,     50338,         642,         31
 370,          1473,             183,             10,        137641,             109,            133,        15784,           6997,            32,     50725,         646,         31
 371,          1476,             183,              8,        138384,             109,            134,        15826,           7018,            32,     51014,         649,         31
 372,          1479,             183,              8,        139129,             109,            134,        15882,           7042,            31,     51727,         650,         31
 373,          1484,             184,             16,        139876,             110,            135,        15919,           7057,            33,     51732,         650,         32
 374,          1487,             184,              9,        140625,             110,            136,        15975,           7087,            32,     51639,         650,         32
 375,          1490,             184,              9,        141376,             110,            136,        16030,           7123,            33,     52006,         653,         31
 376,          1495,             185,              9,        142129,             111,            137,        16061,           7123,            32,     52034,         653,         31
 377,          1502,             187,              9,        142884,             111,            138,        16108,           7145,            33,     52070,         655,         31
 378,          1511,             190,              9,        143641,             112,            138,        16165,           7174,            31,     52481,         656,         31
 379,          1516,             191,              9,        144400,             113,            142,        16233,           7206,            35,     53077,         657,         36
 380,          1519,             191,             10,        145161,             113,            144,        16288,           7249,            35,     54229,         662,         36
 381,          1522,             191,              9,        145924,             113,            144,        16323,           7261,            34,     54658,         663,         35
 382,          1527,             192,              9,        146689,             114,            144,        16375,           7276,            35,     55068,         665,         37
 383,          1530,             192,              9,        147456,             114,            143,        16447,           7317,            33,     55454,         667,         35
 384,          1537,             194,              9,        148225,             116,            143,        16474,           7322,            33,     55061,         667,         33
 385,          1540,             194,             10,        148996,             116,            144,        16549,           7366,            33,     55475,         669,         34
 386,          1543,             194,              9,        149769,             116,            145,        16574,           7370,            33,     55093,         672,         37
 387,          1546,             194,              9,        150544,             116,            145,        16595,           7377,            33,     55586,         675,         33
 388,          1549,             194,              9,        151321,             116,            147,        16675,           7417,            33,     55517,         676,         32
 389,          1554,             195,              9,        152100,             117,            147,        16718,           7426,            33,     55540,         676,         32
 390,          1561,             197,              9,        152881,             117,            148,        16776,           7452,            33,     55571,         678,         32
 391,          1564,             197,              9,        153664,             117,            148,        16836,           7484,            33,     55926,         679,         33
 392,          1569,             198,              9,        154449,             118,            149,        16885,           7501,            33,     55946,         679,         33
 393,          1572,             198,              9,        155236,             118,            150,        16910,           7516,            34,     56439,         682,         33
 394,          1575,             198,              9,        156025,             118,            286,        16977,           7541,            35,     56940,         684,         34
 395,          1580,             199,              9,        156816,             119,            153,        17027,           7565,            34,     56957,         684,         33
 396,          1583,             199,              9,        157609,             119,            152,        17081,           7592,            34,     57366,         686,         33
 397,          1586,             199,              9,        158404,             119,            153,        17121,           7609,            34,     57804,         688,         35
 398,          1589,             199,              9,        159201,             119,            154,        17184,           7637,            37,     58191,         692,         35
 399,          1594,             200,             10,        160000,             120,            155,        17211,           7649,            35,     58204,         692,         34
 400,          1597,             200,              9,        160801,             120,            164,        17270,           7674,            47,     58947,         697,         55
 401,          1600,             200,             15,        161604,             120,            163,        17303,           7689,            35,     59338,         698,         35
 402,          1605,             201,              9,        162409,             121,            157,        17397,           7738,            35,     59350,         698,         34
 403,          1610,             202,              9,        163216,             122,            158,        17426,           7745,            35,     59751,         700,         34
 404,          1619,             205,             10,        164025,             121,            159,        17484,           7769,            35,     58978,         699,         34
 405,          1622,             205,             15,        164836,             121,            169,        17522,           7791,            52,     59416,         703,         64
 406,          1625,             205,             18,        165649,             121,            171,        17564,           7802,            57,     60004,         704,         67
 407,          1628,             205,             18,        166464,             121,            171,        17616,           7831,            57,     60504,         706,         61
 408,          1631,             205,             18,        167281,             121,            171,        17656,           7842,            42,     61700,         712,         37
 409,          1634,             205,             10,        168100,             121,            163,        17693,           7861,            36,     62045,         713,         36
 410,          1637,             205,              9,        168921,             121,            163,        17767,           7901,            36,     62044,         713,         36
 411,          1644,             207,              9,        169744,             123,            164,        17801,           7928,            36,     61713,         714,         35
 412,          1653,             210,             11,        170569,             124,            165,        17858,           7949,            35,     61677,         716,         35
 413,          1656,             210,              9,        171396,             124,            165,        17930,           7982,            36,     62257,         719,         35
 414,          1659,             210,              9,        172225,             124,            167,        17969,           7996,            35,     62929,         721,         36
 415,          1662,             210,             10,        173056,             124,            167,        18006,           8014,            35,     63517,         724,         36
 416,          1665,             210,             10,        173889,             124,            168,        18085,           8044,            38,     63022,         724,         38
 417,          1668,             210,             10,        174724,             124,            170,        18138,           8076,            36,     63414,         727,         37
 418,          1671,             210,             10,        175561,             124,            170,        18193,           8103,            37,     63702,         730,         37
 419,          1676,             211,             10,        176400,             125,            170,        18199,           8099,            36,     63725,         730,         36
 420,          1679,             211,             10,        177241,             125,            172,        18271,           8139,            36,     64106,         732,         37
 421,          1682,             211,             10,        178084,             125,            172,        18317,           8158,            36,     64458,         734,         37
 422,          1685,             211,             10,        178929,             125,            173,        18364,           8174,            36,     64767,         736,         37
 423,          1690,             212,             10,        179776,             126,            177,        18411,           8192,            36,     64786,         736,         37
 424,          1693,             212,             10,        180625,             126,            176,        18474,           8218,            36,     65193,         738,         37
 425,          1696,             212,             24,        181476,             126,            175,        18520,           8237,            36,     65585,         740,         37
 426,          1699,             212,             10,        182329,             126,            176,        18577,           8269,            37,     65916,         744,         37
 427,          1702,             212,             10,        183184,             126,            178,        18617,           8289,            37,     66227,         745,         37
 428,          1707,             213,             13,        184041,             127,            178,        18658,           8302,            37,     66241,         745,         38
 429,          1710,             213,             10,        184900,             127,            179,        18701,           8325,            37,     66665,         747,         38
 430,          1713,             213,             10,        185761,             127,            180,        18763,           8356,            36,     67048,         751,         42
 431,          1716,             213,             10,        186624,             127,            181,        18795,           8372,            37,     67361,         752,         38
 432,          1719,             213,             10,        187489,             127,            182,        18838,           8380,            38,     68115,         756,         38
 433,          1724,             214,             10,        188356,             128,            182,        18885,           8403,            37,     68124,         756,         38
 434,          1727,             214,             10,        189225,             128,            183,        18946,           8438,            37,     68558,         757,         39
 435,          1730,             214,             10,        190096,             128,            184,        19003,           8473,            37,     68990,         759,         39
 436,          1733,             214,             10,        190969,             128,            185,        19036,           8487,            37,     68822,         760,         39
 437,          1736,             214,             10,        191844,             128,            187,        19109,           8524,            38,     69142,         762,         39
 438,          1739,             214,             11,        192721,             128,            186,        19147,           8534,            37,     69922,         766,         39
 439,          1742,             214,             10,        193600,             128,            188,        19208,           8559,            38,     70262,         770,         39
 440,          1745,             214,             10,        194481,             128,            221,        19233,           8564,            38,     69975,         769,         40
 441,          1752,             216,             10,        195364,             130,            190,        19276,           8584,            38,     69883,         769,         39
 442,          1755,             216,             10,        196249,             130,            190,        19347,           8625,            38,     70728,         773,         40
 443,          1758,             216,             10,        197136,             130,            191,        19399,           8658,            38,     71227,         774,         40
 444,          1761,             216,             10,        198025,             130,            192,        19447,           8674,            38,     70571,         774,         39
 445,          1764,             216,             10,        198916,             130,            193,        19513,           8712,            37,     70949,         776,         40
 446,          1767,             216,             10,        199809,             130,            194,        19539,           8720,            38,     71799,         780,         41
 447,          1770,             216,             10,        200704,             130,            195,        19599,           8757,            39,     72110,         783,         40
 448,          1773,             216,             10,        201601,             130,            195,        19656,           8777,            38,     72558,         784,         41
 449,          1776,             216,             10,        202500,             130,            196,        19683,           8782,            38,     72870,         786,         41
 450,          1781,             217,             12,        203401,             131,            198,        19756,           8822,            39,     72364,         784,         41
 451,          1788,             219,             10,        204304,             131,            198,        19795,           8834,            39,     72466,         786,         40
 452,          1791,             219,             10,        205209,             131,            200,        19856,           8863,            39,     72911,         788,         41
 453,          1794,             219,             10,        206116,             131,            200,        19905,           8888,            40,     73269,         790,         41
 454,          1797,             219,             10,        207025,             131,            201,        19966,           8924,            40,     73628,         792,         41
 455,          1802,             220,             10,        207936,             132,            201,        20019,           8943,            39,     73717,         792,         41
 456,          1805,             220,             10,        208849,             132,            203,        20057,           8955,            40,     75091,         796,         42
 457,          1808,             220,             10,        209764,             132,            204,        20099,           8977,            40,     75527,         798,         42
 458,          1811,             220,             10,        210681,             132,            204,        20160,           9005,            39,     76370,         805,         42
 459,          1816,             221,             10,        211600,             133,            205,        20208,           9028,            40,     76459,         805,         42
 460,          1821,             222,             10,        212521,             134,            206,        20269,           9059,            39,     75928,         805,         42
 461,          1828,             224,             11,        213444,             134,            207,        20313,           9083,            39,     75942,         807,         42
 462,          1831,             224,             12,        214369,             134,            208,        20345,           9092,            40,     76465,         807,         42
 463,          1834,             224,             11,        215296,             134,            208,        20403,           9125,            40,     76973,         809,         42
 464,          1837,             224,             10,        216225,             134,            210,        20457,           9145,            40,     76804,         812,         43
 465,          1840,             224,             10,        217156,             134,            210,        20492,           9163,            41,     77202,         814,         43
 466,          1843,             224,             10,        218089,             134,            211,        20557,           9189,            40,     77625,         816,         43
 467,          1846,             224,             10,        219024,             134,            212,        20593,           9202,            40,     78009,         818,         43
 468,          1849,             224,             10,        219961,             134,            214,        20634,           9222,            40,     78331,         819,         43
 469,          1852,             224,             11,        220900,             134,            214,        20700,           9261,            40,     78654,         821,         43
 470,          1855,             224,             11,        221841,             134,            215,        20762,           9290,            40,     78980,         823,         43
 471,          1860,             225,             10,        222784,             135,            216,        20813,           9313,            41,     79059,         823,         43
 472,          1865,             226,             11,        223729,             136,            218,        20853,           9331,            40,     79869,         828,         44
 473,          1868,             226,             11,        224676,             136,            218,        20905,           9360,            40,     80263,         830,         44
 474,          1871,             226,             12,        225625,             136,            219,        20950,           9380,            41,     80737,         831,         44
 475,          1874,             226,             11,        226576,             136,            219,        20995,           9400,            41,     81093,         833,         44
 476,          1881,             228,             11,        227529,             138,            220,        21070,           9444,            41,     80292,         831,         44
 477,          1884,             228,             11,        228484,             138,            221,        21123,           9470,            41,     80780,         833,         44
 478,          1887,             228,             11,        229441,             138,            222,        21159,           9482,            42,     81673,         835,         44
 479,          1892,             229,             11,        230400,             139,            223,        21214,           9511,            41,     81746,         835,         45
 480,          1897,             230,             11,        231361,             140,            225,        21253,           9529,            42,     82661,         840,         49
 481,          1906,             233,             11,        232324,             139,            256,        21318,           9563,            41,     82395,         841,         45
 482,          1909,             233,             11,        233289,             139,            227,        21353,           9576,            42,     82397,         840,         45
 483,          1912,             233,             11,        234256,             139,            227,        21405,           9596,            42,     83033,         842,         88
 484,          1917,             234,             11,        235225,             140,            229,        21483,           9637,            42,     82661,         843,         47
 485,          1922,             235,             11,        236196,             141,            229,        21522,           9654,            42,     83168,         845,         46
 486,          1925,             235,             12,        237169,             141,            231,        21575,           9679,            42,     83783,         847,         46
 487,          1928,             235,             11,        238144,             141,            231,        21620,           9710,            42,     84296,         850,         46
 488,          1933,             236,             11,        239121,             142,            233,        21678,           9736,            42,     85835,         852,         47
 489,          1936,             236,             11,        240100,             142,            233,        21698,           9739,            44,     86423,         854,         48
 490,          1939,             236,             11,        241081,             142,            234,        21756,           9765,            43,     85932,         854,         47
 491,          1944,             237,             11,        242064,             143,            236,        21812,           9795,            55,     85937,         854,         47
 492,          1947,             237,             11,        243049,             143,            236,        21875,           9825,            43,     86917,         859,         47
 493,          1952,             238,             11,        244036,             144,            237,        21942,           9860,            43,     86922,         859,         47
 494,          1955,             238,             11,        245025,             144,            238,        21967,           9871,            42,     87465,         859,         47
 495,          1958,             238,             15,        246016,             144,            239,        22017,           9898,            43,     87993,         861,         49
 496,          1961,             238,             11,        247009,             144,            239,        22047,           9906,            43,     87903,         863,         48
 497,          1964,             238,             54,        248004,             144,            240,        22093,           9926,            43,     88353,         867,         49
 498,          1967,             238,             11,        249001,             144,            242,        22170,           9964,            43,     89304,         870,         49
